"","sample_size","cor_ext_rand","cor_ext_randTL","cor_shan_rand","cor_shan_randTL"
"1",4,0.615439154926821,0.654687949646635,0.142900966585618,0.149688558146772
"2",8,0.756670040864534,0.786683873037935,0.171259352988243,0.213507915506587
"3",12,0.827315207588801,0.843534651967854,0.174526778396891,0.18487335974509
"4",16,0.8597207926933,0.877606928027939,0.245614473122236,0.225212562154747
"5",20,0.896043720013834,0.901501820929927,0.299636541776643,0.261893902109412
"6",24,0.912385729101783,0.923351487357993,0.249325597614136,0.299131891612671
"7",28,0.928454028347805,0.932080630960753,0.29933634070633,0.311224346136856
"8",32,0.940808229331385,0.943435298886336,0.342705394379411,0.323875963040964
"9",36,0.951806831664967,0.953664454244673,0.323970682124064,0.320715964314375
